QUÝ,Giá đóng cửa quý TB,Thay đổi giá của quý,%Thay đổi của quý,Biên lợi nhuận gộp,Biên lợi nhuận ròng,P/E,EPS (VNĐ/CP),Tăng trưởng EPS,ROE LTM,Nợ phải trả / Vốn chủ sở hữu,Khả năng thanh toán tổng quát,Vòng quay tài sản (vòng),Giá trị sổ sách_BVPS
Q1/2021,40156.954761904766,0.0,0.0,38.15,15.17,16.53,998.54,4.77,24.82,125.41,1.8,0.18,21742114.047118817
Q2/2021,51186.021428571425,11029.066666666658,0.27464898003494714,39.81,14.58,18.29,1102.0,-1.69,25.35,134.23,1.74,0.19,22102707.815810528
Q3/2021,56491.778095238085,5305.756666666661,0.10365636004882088,37.26,15.75,22.06,1239.42,4.6,26.17,137.38,1.73,0.18,22394464.527530156
Q4/2021,55527.494999999995,-964.28309523809,-0.01706944139043436,38.25,14.57,21.79,1434.1,15.14,26.71,150.68,1.66,0.21,23602157.151062597
Q1/2022,62114.8995,6587.404500000004,0.11863320144371729,40.63,15.81,19.31,1129.31,13.1,26.86,142.17,1.7,0.18,20928756.356127713
Q2/2022,62251.719523809516,136.820023809516,0.0022026925087356214,38.06,15.47,21.11,1140.19,3.47,27.76,140.46,1.71,0.18,21341026.502842996
Q3/2022,56972.617142857154,-5279.102380952361,-0.08480251503628353,39.1,15.75,18.96,1325.14,6.92,28.91,129.16,1.77,0.2,21928154.653318644
Q4/2022,57201.63105263158,229.01390977442497,0.00401971896780131,40.19,12.42,15.61,1232.06,-14.09,27.7,103.83,1.96,0.24,23101519.500606045
Q1/2023,57885.20523809523,683.5741854636508,0.01195025688751235,39.1,15.49,16.68,1176.05,4.14,26.98,87.51,2.14,0.23,21308327.791085344
Q2/2023,63160.94476190476,5275.739523809527,0.0911414151873383,37.12,14.86,16.18,1188.39,4.23,27.08,111.66,1.9,0.22,22516558.040104724
Q3/2023,81467.666,18306.72123809524,0.28984242251450393,39.94,15.08,18.65,1369.59,3.35,28.06,118.66,1.84,0.22,22367206.14881054
Q4/2023,82193.95526315788,726.289263157887,0.008915061628964393,38.34,13.96,19.32,1360.98,10.46,28.19,101.43,1.99,0.24,23581959.79756905
Q1/2024,98406.14850000001,16212.193236842126,0.1972431328427503,39.1,15.33,20.59,1231.15,4.69,27.7,95.49,2.05,0.23,21724224.071904793
Q2/2024,131825.0775,33418.929000000004,0.3396020422443421,37.07,15.01,24.72,1283.96,8.04,27.96,99.43,2.01,0.24,22415342.257236417
Q3/2024,134159.0276190476,2333.9501190476003,0.01770490230925599,38.73,15.59,27.02,1419.96,3.68,28.16,91.1,2.1,0.24,24039783.19653577
Q4/2024,149260.0,15100.972380952386,0.11256024025332442,36.8,14.16,26.89,1418.69,4.24,28.66,101.17,1.99,0.25,24333747.747994255
